País	Recuento		
us	164761		
cn	137426		
	56267		
fr	30814		
it	27174		
ru	23814		
gb	22142		
in	18877		
cg	16590		
de	14599		
ca	12564		
ye	12486		
ph	9556		
be	7676		
kr	7402		
ir	5393		
at	5347		
au	4813		
pk	4424		
id	4108		
hu	3976		
ng	3521		
ve	3299		
tr	3077		
jp	2940		
ro	2906		
es	2765		
et	2640		
np	2531		
ch	2420		
sk	2326		
cr	2289		
cz	2241		
th	2096		
ge	1794		
tw	1724		
sg	1439		
ua	1397		
dk	1179		
td	1075		
nl	1062		
pt	1024		
no	997		
sr	981		
br	919		
pl	891		
lr	856		
se	851		
ar	847		
cm	826		
mk	817		
ie	806		
ug	781		
lv	724		
mn	717		
bf	681		
am	677		
li	676		
lk	668		
bj	659		
om	612		
rw	578		
iq	575		
ee	559		
ai	537		
ss	528		
fi	515		
gy	506		
so	419		
bw	410		
mx	389		MÉXICO
co	359		
bg	357		
vn	351		
za	341		
ne	339		
ht	334		
uz	329		
il	307		
nz	302		
bs	279		
pe	271		
gh	258		
my	236		
eg	223		
sa	221		
mt	220		
gm	220		
zw	205		
ke	201		
ec	199		
qa	197		
gr	184		
py	184		
sl	179		
hr	170		
by	169		
af	166		
cl	158		
cd	157		
pa	150		
bm	138		
la	134		
kz	134		
lt	131		
ml	122		
mv	121		
rs	121		
ps	115		
bd	106		
fm	102		
mm	100		
ws	97		
cu	93		
dz	86		
ma	75		
jm	74		
al	66		
sy	63		
is	63		
xk	62		
ly	60		
si	59		
ba	58		
tn	56		
pg	56		
ae	55		
ci	50		
tz	49		
jo	48		
im	45		
gt	45		
kh	45		
tg	42		
ao	42		
gn	36		
az	35		
cv	32		
vu	30		
cy	29		
kg	27		
tj	27		
kw	25		
na	23		
cf	22		
mg	22		
lu	21		
ad	19		
je	18		
ki	17		
ni	16		
bn	16		
bo	15		
bh	14		
lb	14		
bz	13		
mh	12		
kp	12		
tm	12		
ag	12		
fj	9		
lc	8		
gl	7		
dj	7		
ga	6		
sd	6		
km	6		
io	6		
zm	5		
me	5		
mu	5		
gg	5		
gd	4		
fo	4		
to	4		
do	3		
gw	3		
hn	3		
sc	3		
mw	2		
sz	2		
pw	2		
bi	2		
sn	2		
bt	2		
tl	1		
er	1		
uy	1		
gi	1		
nu	1		
bb	1		
sv	1		
md	1		
